ID #,Category,Type,Gender,Location (Gym/Home/Hybrid),Equipment,Movement,Description,Video Name,
1,Bodyweight,Plyometrics ,Male,Hybrid,Bench/box,Jumps,Jump with two feet onto box 2 times. then put yourself in a pushup position and bring your knee to your chest while the other leg stabilizes,2 box jumps plus 10 box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=2+box+jumps+plus+10+box+mountain+climbers+.mp4
2,Combination,Aerobic,Male,Hybrid,Stationary bike,Warmups & Mobility Fillers,Pedal at a comfortable medium speed ,assault bike normal speed,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+normal+speed+.mp4
3,Combination,Anaerobic,Male,Hybrid,Stationary bike,Corrective Work,Pedal as hard as you can for 30-40 seconds,assault bike sprint,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=assault+bike+sprint+.mp4
4,Bodyweight,Plyometrics,Female,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 2 times. Then move to side of bench and bring one foot up to chest while other foot is stabilizing your body",bench hop x2 plus mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x2+plus+mountain+climbers+x10+.mp4
5,Static,Plyometrics,Male,Hybrid,None,Single-Leg,"Step back with one foot, drop to a lunge position no further than 90 degrees, and raise up almost to fully extended and drop back down in a pulsing motion",static lunge pulse,https://www.dropbox.com/preview/BP8%20finished%203rd%20shoot/Cardio/static%20lunge%20pulse%20.mp4?context=content_suggestions&role=personal
6,Bodyweight,Plyometrics,Female,Hybrid,Bench,Jumps,"With both hands on bench stabilizing yourself, jump with two feet over the bench back and forth 4 times. Then safely drop to the floor on your stomach and push yourself back onto your feet",bench hop x4 plus burpee,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bench+hop+x4+plus+burpee.mp4
7,Combination,Plyometrics,Male,Hybrid,Bosu Ball,Vertical Pressing ,"Start with bosu ball over head, bring down to floor and alternate legs in a running motion, then squat back up and raise the bosu ball over head, repeat.",bosu ball burpee plus 10 mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=bosu+ball+burpee+plus+10+mountain+climbers+.mp4
8,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,"Stair with one foot on bench/box and step so both feet are on the box, lower yourself with the same leg that you started with, repeat with other leg, then Then place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body",box alt step ups x2 plus box mountain climbers x10,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt+step+ups+x2+plus+box+mountain+climbers+x10+.mp4
9,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with other leg,box alt. explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+alt.+explosive+step+ups+.mp4
10,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,Stair with one foot on bench/box and step up into a one leg jump and come back down repeat with same leg for all reps,box explosive step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+explosive+step+ups+.mp4
11,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor and fall to stomach on the ground and raise yourself back up to your feet, repeat.",box hop burpees,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+hop+burpees+.mp4
12,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, drop back down to floor, followed by 5 air squats, repeat",box jump plus squat x5,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jump+plus+squat+x5+.mp4
13,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Jumps,"Two foot jump onto bench/box, step back down to floor",box jumps,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+jumps+.mp4
14,Bodyweight,Plyometrics,Female,Hybrid,Bench/box,Corrective Work,Place both hands on the bench/box and bring one foot up to chest while other foot is stabilizing your body,box mountain climbers,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+mountain+climbers+.mp4
15,Bodyweight,Plyometrics,Male,Hybrid,Bench/box,Single-Leg,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, and lunge back with foot that was on box stepping back, repeat with same legs.",box step up + reverse lunge,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+up+%2B+reverse+lunge+.mp4
16,Bodyweight,Anaerobic,Male,Hybrid,Bench/box,Single-Leg,"Step onto bench/box with one foot and pull yourself up with knee coming to chest, step back down to the floor with same foot, alternate legs and repeat",box step ups,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=box+step+ups+.mp4
17,Bodyweight,Warmup,Male,Hybrid,None,Corrective Work,Kick heels up to butt,butt kicks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=butt+kicks+.mp4
18,Combination,Plyometrics/Anaerobic,Male,Gym,Cables,Jumps,"With tension on cables, pull down the cables by bending and squatting down and jump, repeat.",explosive ski erg,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=explosive+ski+erg+.mp4
19,Bodyweight,Plyometrics,Female,Hybrid,None,Jumps,"Jump from one foot to the other back and forth like a skating motion,",ice skaters,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=ice+skaters+.mp4
20,Bodyweight,Plyometrics,Female,Hybrid,None,Jumps,"Squat as low as possible and jump as high as possible, repeat",jump squats,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=jump+squats+.mp4
21,Bodyweight,Warmup,Male,Hybrid,None,Jumps,With slight bend in your knees jump side to side,lateral hops,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=laterall+hops+.mp4
22,Combination,Aerobic/Anaerobic,Female,Gym,Rowing Machine,Horizontal Pulling,"Start with bent kness pushing back while pulling on cable, repeat",rower,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=rower+.mp4
23,Combination,Aerobic/Anaerobic,Female,Gym,Stationary bike,Warmup,Pedal,seated stationary bike,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=seated+stationary+bike+.mp4
24,Band,Warmup,Male,Hybrid,Band,Jump,Slight jump as you flutter kick your legs in the air,short band foot shuffle,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+foot+shuffle+.mp4
25,Band,Warmup,Female,Hybrid,Band,Jump,"Slight jump, bring your arms over your head from the side while kicking legs out to side",short band jumping jacks,https://www.dropbox.com/home/BP8%20finished%203rd%20shoot/Cardio?preview=short+band+jumping+jacks+.mp4
